area,contentType,action,department,week,month,count,
Bay,P,R,McDonough,10/27/2013,2013-10,4957,
Stream,P,R,Good,6/2/2013,2013-06,4935,
Harbor,P,R,Midwest,4/6/2014,2014-04,4915,
,A,R,Presence,3/30/2014,2014-04,4902,
Oilfield,P,R,Good,1/26/2014,2014-01,4890,
,A,R,Highland,2/2/2014,2014-02,4867,
,A,R,Kishwaukee,11/17/2013,2013-11,4856,
Oilfield,P,R,Good,12/22/2013,2013-12,4849,
,A,R,Pinckneyville,2/16/2014,2014-02,4839,
,A,R,Harrisburg,5/11/2014,2014-05,4830,
Trail,P,R,Good,5/25/2014,2014-05,4813,
,A,R,Kishwaukee,5/18/2014,2014-05,4782,
,A,R,Harrisburg,4/20/2014,2014-04,4772,
,A,R,Pinckneyville,11/24/2013,2013-11,4766,
Ridge,P,R,Graham,11/10/2013,2013-11,4761,
Oilfield,P,R,Jackson,8/25/2013,2013-08,4752,
Trail,P,R,Good,7/21/2013,2013-07,4719,
,A,R,Presence,3/16/2014,2014-03,4717,
,A,R,Marianjoy,3/23/2014,2014-03,4706,
,A,R,Morris,11/17/2013,2013-11,4658,
Ridge,P,R,Graham,3/9/2014,2014-03,4635,
,A,R,Kirby,11/3/2013,2013-11,4631,
,A,R,Memorial,3/2/2014,2014-03,4622,
Island,P,R,Decatur,8/11/2013,2013-08,4616,
Harbor,P,R,Midwest,3/9/2014,2014-03,4598,
,A,R,Presence,3/9/2014,2014-03,4591,
Ridge,P,R,Graham,6/16/2013,2013-06,4554,
,A,R,Anderson,11/3/2013,2013-11,4554,
Swamp,P,R,Presence,1/26/2014,2014-01,4546,
Military,P,R,Gibson,3/9/2014,2014-03,4528,
,A,R,Jackson,10/27/2013,2013-10,4523,
,A,R,Presence,8/4/2013,2013-08,4520,
,A,R,Genesis,4/6/2014,2014-04,4498,
,A,R,Presence,6/30/2013,2013-07,4497,
Ridge,P,R,Graham,9/1/2013,2013-09,4495,
,A,R,Kirby,3/30/2014,2014-04,4486,
,A,R,Perry,1/12/2014,2014-01,4481,
,A,R,Presence,11/10/2013,2013-11,4470,
,A,R,Anderson,2/16/2014,2014-02,4463,
Trail,P,R,Good,8/18/2013,2013-08,4462,
,A,R,Kirby,12/8/2013,2013-12,4446,
,A,R,Crawford,12/22/2013,2013-12,4443,
,A,R,Genesis,3/9/2014,2014-03,4423,
,A,C,Good,8/18/2013,2013-08,4414,
,A,R,FHN,6/9/2013,2013-06,4401,
Trail,P,R,Evanston,3/23/2014,2014-03,4377,
Arch,P,R,Fairfield,9/29/2013,2013-09,4364,
Oilfield,P,R,Good,7/21/2013,2013-07,4324,
Trail,P,R,Presence,2/16/2014,2014-02,4275,
Ridge,P,R,Graham,1/19/2014,2014-01,4241,
,A,R,Kirby,7/14/2013,2013-07,4220,
Trail,P,R,Good,9/29/2013,2013-09,4216,
Trail,P,R,Presence,9/29/2013,2013-09,4213,
Oilfield,P,R,Good,9/22/2013,2013-09,4202,
Harbor,P,R,Midwest,1/26/2014,2014-01,4192,
,A,R,Marianjoy,4/27/2014,2014-05,4142,
Forest,P,R,Fayette,11/17/2013,2013-11,4124,
,A,R,Kirby,9/8/2013,2013-09,4114,
,A,R,Presence,4/13/2014,2014-04,4102,
Trail,P,R,Presence,10/27/2013,2013-10,4085,
,A,R,Kirby,4/27/2014,2014-05,4085,
Stream,P,R,Good,9/1/2013,2013-09,4075,
Oilfield,P,R,OSF,10/27/2013,2013-10,4073,
,A,R,Presence,1/19/2014,2014-01,4070,
Island,P,R,Decatur,4/6/2014,2014-04,4062,
,A,R,Kirby,3/16/2014,2014-03,4040,
Island,P,R,Decatur,3/16/2014,2014-03,4002,
,A,R,Presence,12/8/2013,2013-12,3985,
Locale,P,R,Good,9/1/2013,2013-09,3977,
Lake,P,R,OSF,1/26/2014,2014-01,3959,
Arch,P,R,Fairfield,10/27/2013,2013-10,3944,
,A,R,Marianjoy,1/12/2014,2014-01,3933,
,A,C,Good,7/21/2013,2013-07,3914,
,A,R,Advocate,1/5/2014,2014-01,3906,
Flat,P,R,Decatur,5/11/2014,2014-05,3903,
Reservoir,P,R,Edward,12/22/2013,2013-12,3900,
Forest,P,R,Fayette,1/26/2014,2014-01,3898,
,A,C,Good,6/16/2013,2013-06,3896,
,A,R,FHN,12/15/2013,2013-12,3896,
Mine,P,R,Institute,2/23/2014,2014-02,3877,
,A,R,Kirby,8/18/2013,2013-08,3877,
Channel,P,C,Good,12/15/2013,2013-12,3861,
,A,R,Highland,11/17/2013,2013-11,3835,
Stream,P,R,Good,10/27/2013,2013-10,3801,
,A,R,Genesis,11/17/2013,2013-11,3798,
Trail,P,R,Evanston,5/25/2014,2014-05,3787,
